COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
PRT,Portugal,RD_SUB,R&D subsidies,2009,2009,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2010,2010,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2011,2011,IDX,Index,0,Units,,,1,,
PRT,Portugal,RD_SUB,R&D subsidies,2012,2012,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1990,1990,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1991,1991,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1992,1992,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1993,1993,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1994,1994,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1995,1995,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1996,1996,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1997,1997,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1998,1998,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,1999,1999,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2000,2000,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2001,2001,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2002,2002,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2003,2003,IDX,Index,0,Units,,,1,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2004,2004,IDX,Index,0,Units,,,6,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2005,2005,IDX,Index,0,Units,,,6,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2006,2006,IDX,Index,0,Units,,,6,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2007,2007,IDX,Index,0,Units,,,6,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2008,2008,IDX,Index,0,Units,,,6,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2009,2009,IDX,Index,0,Units,,,6,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2010,2010,IDX,Index,0,Units,,,6,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2011,2011,IDX,Index,0,Units,,,6,,
BEL,Belgium,ELV_NOX,Emission limit values NOx,2012,2012,IDX,Index,0,Units,,,6,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1990,1990,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1991,1991,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1992,1992,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1993,1993,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1994,1994,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1995,1995,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1996,1996,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1997,1997,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1998,1998,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,1999,1999,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2000,2000,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2001,2001,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2002,2002,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2003,2003,IDX,Index,0,Units,,,1,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2004,2004,IDX,Index,0,Units,,,2,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2005,2005,IDX,Index,0,Units,,,2,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2006,2006,IDX,Index,0,Units,,,2,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2007,2007,IDX,Index,0,Units,,,2,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2008,2008,IDX,Index,0,Units,,,3,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2009,2009,IDX,Index,0,Units,,,3,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2010,2010,IDX,Index,0,Units,,,4,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2011,2011,IDX,Index,0,Units,,,4,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2012,2012,IDX,Index,0,Units,,,4,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2013,2013,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2014,2014,IDX,Index,0,Units,,,0,,
ITA,Italy,TRADESCH_REC,Trading Schemes Green Certificates,2015,2015,IDX,Index,0,Units,,,0,,
DEU,Germany,EPS,Environmental Policy Stringency,1990,1990,IDX,Index,0,Units,,,1.208333373,,
DEU,Germany,EPS,Environmental Policy Stringency,1991,1991,IDX,Index,0,Units,,,2.125,,
DEU,Germany,EPS,Environmental Policy Stringency,1992,1992,IDX,Index,0,Units,,,1.875,,
DEU,Germany,EPS,Environmental Policy Stringency,1993,1993,IDX,Index,0,Units,,,1.9375,,
DEU,Germany,EPS,Environmental Policy Stringency,1994,1994,IDX,Index,0,Units,,,1.895833254,,
DEU,Germany,EPS,Environmental Policy Stringency,1995,1995,IDX,Index,0,Units,,,1.8125,,
DEU,Germany,EPS,Environmental Policy Stringency,1996,1996,IDX,Index,0,Units,,,1.854166746,,
DEU,Germany,EPS,Environmental Policy Stringency,1997,1997,IDX,Index,0,Units,,,1.9375,,
DEU,Germany,EPS,Environmental Policy Stringency,1998,1998,IDX,Index,0,Units,,,1.979166746,,
DEU,Germany,EPS,Environmental Policy Stringency,1999,1999,IDX,Index,0,Units,,,1.979166746,,
DEU,Germany,EPS,Environmental Policy Stringency,2000,2000,IDX,Index,0,Units,,,2.0625,,
DEU,Germany,EPS,Environmental Policy Stringency,2001,2001,IDX,Index,0,Units,,,2.0625,,
DEU,Germany,EPS,Environmental Policy Stringency,2002,2002,IDX,Index,0,Units,,,2.541666746,,
DEU,Germany,EPS,Environmental Policy Stringency,2003,2003,IDX,Index,0,Units,,,2.541666746,,
DEU,Germany,EPS,Environmental Policy Stringency,2004,2004,IDX,Index,0,Units,,,2.666666508,,
DEU,Germany,EPS,Environmental Policy Stringency,2005,2005,IDX,Index,0,Units,,,3.045833349,,
DEU,Germany,EPS,Environmental Policy Stringency,2006,2006,IDX,Index,0,Units,,,3.004166603,,
DEU,Germany,EPS,Environmental Policy Stringency,2007,2007,IDX,Index,0,Units,,,2.670833349,,
DEU,Germany,EPS,Environmental Policy Stringency,2008,2008,IDX,Index,0,Units,,,2.637500048,,
DEU,Germany,EPS,Environmental Policy Stringency,2009,2009,IDX,Index,0,Units,,,3.058333397,,
DEU,Germany,EPS,Environmental Policy Stringency,2010,2010,IDX,Index,0,Units,,,3.016666651,,
DEU,Germany,EPS,Environmental Policy Stringency,2011,2011,IDX,Index,0,Units,,,3.141666651,,
DEU,Germany,EPS,Environmental Policy Stringency,2012,2012,IDX,Index,0,Units,,,2.924999952,,
DEU,Germany,EPS,Environmental Policy Stringency,2013,2013,IDX,Index,0,Units,,,3.108333349,,
DEU,Germany,EPS,Environmental Policy Stringency,2014,2014,IDX,Index,0,Units,,,3.066666603,,
DEU,Germany,EPS,Environmental Policy Stringency,2015,2015,IDX,Index,0,Units,,,3.133333206,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1990,1990,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1991,1991,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1992,1992,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1993,1993,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1994,1994,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1995,1995,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1996,1996,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1997,1997,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1998,1998,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,1999,1999,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2000,2000,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2001,2001,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2002,2002,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2003,2003,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2004,2004,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2005,2005,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2006,2006,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2007,2007,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2008,2008,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2009,2009,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2010,2010,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2011,2011,IDX,Index,0,Units,,,0,,
HUN,Hungary,TRADESCH_EEF,Trading Schemes White Certificates,2012,2012,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1990,1990,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1991,1991,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1992,1992,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1993,1993,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1994,1994,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1995,1995,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1996,1996,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1997,1997,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1998,1998,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,1999,1999,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2000,2000,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2001,2001,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2002,2002,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2003,2003,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2004,2004,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2005,2005,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2006,2006,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2007,2007,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2008,2008,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2009,2009,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2010,2010,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2011,2011,IDX,Index,0,Units,,,0,,
AUT,Austria,TAXCO2,Tax CO2,2012,2012,IDX,Index,0,Units,,,0,,
NLD,Netherlands,EPS_MKT,Market EPS,1990,1990,IDX,Index,0,Units,,,0.333333343,,
NLD,Netherlands,EPS_MKT,Market EPS,1991,1991,IDX,Index,0,Units,,,0.333333343,,
NLD,Netherlands,EPS_MKT,Market EPS,1992,1992,IDX,Index,0,Units,,,0.333333343,,
NLD,Netherlands,EPS_MKT,Market EPS,1993,1993,IDX,Index,0,Units,,,0.333333343,,
NLD,Netherlands,EPS_MKT,Market EPS,1994,1994,IDX,Index,0,Units,,,0.416666657,,
NLD,Netherlands,EPS_MKT,Market EPS,1995,1995,IDX,Index,0,Units,,,0.416666657,,
NLD,Netherlands,EPS_MKT,Market EPS,1996,1996,IDX,Index,0,Units,,,0.333333343,,
NLD,Netherlands,EPS_MKT,Market EPS,1997,1997,IDX,Index,0,Units,,,0.416666657,,
NLD,Netherlands,EPS_MKT,Market EPS,1998,1998,IDX,Index,0,Units,,,0.5,,
NLD,Netherlands,EPS_MKT,Market EPS,1999,1999,IDX,Index,0,Units,,,0.416666657,,
NLD,Netherlands,EPS_MKT,Market EPS,2000,2000,IDX,Index,0,Units,,,0.333333343,,
NLD,Netherlands,EPS_MKT,Market EPS,2001,2001,IDX,Index,0,Units,,,0.600000024,,
NLD,Netherlands,EPS_MKT,Market EPS,2002,2002,IDX,Index,0,Units,,,0.683333337,,
NLD,Netherlands,EPS_MKT,Market EPS,2003,2003,IDX,Index,0,Units,,,1.516666651,,
NLD,Netherlands,EPS_MKT,Market EPS,2004,2004,IDX,Index,0,Units,,,1.433333397,,
NLD,Netherlands,EPS_MKT,Market EPS,2005,2005,IDX,Index,0,Units,,,2.233333349,,
NLD,Netherlands,EPS_MKT,Market EPS,2006,2006,IDX,Index,0,Units,,,2.233333349,,
NLD,Netherlands,EPS_MKT,Market EPS,2007,2007,IDX,Index,0,Units,,,1.399999976,,
NLD,Netherlands,EPS_MKT,Market EPS,2008,2008,IDX,Index,0,Units,,,2.583333254,,
NLD,Netherlands,EPS_MKT,Market EPS,2009,2009,IDX,Index,0,Units,,,2.883333445,,
NLD,Netherlands,EPS_MKT,Market EPS,2010,2010,IDX,Index,0,Units,,,2.766666651,,
NLD,Netherlands,EPS_MKT,Market EPS,2011,2011,IDX,Index,0,Units,,,2.516666651,,
NLD,Netherlands,EPS_MKT,Market EPS,2012,2012,IDX,Index,0,Units,,,2.25,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1990,1990,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1991,1991,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1992,1992,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1993,1993,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1994,1994,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1995,1995,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1996,1996,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1997,1997,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1998,1998,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,1999,1999,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2000,2000,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2001,2001,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2002,2002,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2003,2003,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2004,2004,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2005,2005,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2006,2006,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2007,2007,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2008,2008,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2009,2009,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2010,2010,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2011,2011,IDX,Index,0,Units,,,0,,
BEL,Belgium,FIT_WIND,Feed-in Tariffs Wind,2012,2012,IDX,Index,0,Units,,,0,,
PRT,Portugal,EPS,Environmental Policy Stringency,1990,1990,IDX,Index,0,Units,,,0.854166687,,
PRT,Portugal,EPS,Environmental Policy Stringency,1991,1991,IDX,Index,0,Units,,,0.854166687,,
PRT,Portugal,EPS,Environmental Policy Stringency,1992,1992,IDX,Index,0,Units,,,1.0625,,
PRT,Portugal,EPS,Environmental Policy Stringency,1993,1993,IDX,Index,0,Units,,,1.020833373,,
PRT,Portugal,EPS,Environmental Policy Stringency,1994,1994,IDX,Index,0,Units,,,1.020833373,,
PRT,Portugal,EPS,Environmental Policy Stringency,1995,1995,IDX,Index,0,Units,,,1.0625,,
PRT,Portugal,EPS,Environmental Policy Stringency,1996,1996,IDX,Index,0,Units,,,1.020833373,,
PRT,Portugal,EPS,Environmental Policy Stringency,1997,1997,IDX,Index,0,Units,,,1.020833373,,
PRT,Portugal,EPS,Environmental Policy Stringency,1998,1998,IDX,Index,0,Units,,,1.145833254,,
PRT,Portugal,EPS,Environmental Policy Stringency,1999,1999,IDX,Index,0,Units,,,1.104166746,,
PRT,Portugal,EPS,Environmental Policy Stringency,2000,2000,IDX,Index,0,Units,,,1.270833254,,
PRT,Portugal,EPS,Environmental Policy Stringency,2001,2001,IDX,Index,0,Units,,,1.4375,,
PRT,Portugal,EPS,Environmental Policy Stringency,2002,2002,IDX,Index,0,Units,,,1.5625,,
PRT,Portugal,EPS,Environmental Policy Stringency,2003,2003,IDX,Index,0,Units,,,2.125,,
PRT,Portugal,EPS,Environmental Policy Stringency,2004,2004,IDX,Index,0,Units,,,2.125,,
PRT,Portugal,EPS,Environmental Policy Stringency,2005,2005,IDX,Index,0,Units,,,2.712500095,,
PRT,Portugal,EPS,Environmental Policy Stringency,2006,2006,IDX,Index,0,Units,,,2.712500095,,
PRT,Portugal,EPS,Environmental Policy Stringency,2007,2007,IDX,Index,0,Units,,,2.212500095,,
PRT,Portugal,EPS,Environmental Policy Stringency,2008,2008,IDX,Index,0,Units,,,2.262500048,,
PRT,Portugal,EPS,Environmental Policy Stringency,2009,2009,IDX,Index,0,Units,,,2.474999905,,
PRT,Portugal,EPS,Environmental Policy Stringency,2010,2010,IDX,Index,0,Units,,,2.541666508,,
PRT,Portugal,EPS,Environmental Policy Stringency,2011,2011,IDX,Index,0,Units,,,2.266666651,,
PRT,Portugal,EPS,Environmental Policy Stringency,2012,2012,IDX,Index,0,Units,,,2.133333206,,
DNK,Denmark,TAXES,Taxes,1990,1990,IDX,Index,0,Units,,,0.5,,
DNK,Denmark,TAXES,Taxes,1991,1991,IDX,Index,0,Units,,,0.5,,
DNK,Denmark,TAXES,Taxes,1992,1992,IDX,Index,0,Units,,,0.75,,
DNK,Denmark,TAXES,Taxes,1993,1993,IDX,Index,0,Units,,,1,,
DNK,Denmark,TAXES,Taxes,1994,1994,IDX,Index,0,Units,,,1,,
DNK,Denmark,TAXES,Taxes,1995,1995,IDX,Index,0,Units,,,1,,
DNK,Denmark,TAXES,Taxes,1996,1996,IDX,Index,0,Units,,,1,,
DNK,Denmark,TAXES,Taxes,1997,1997,IDX,Index,0,Units,,,1,,
DNK,Denmark,TAXES,Taxes,1998,1998,IDX,Index,0,Units,,,1,,
DNK,Denmark,TAXES,Taxes,1999,1999,IDX,Index,0,Units,,,1.5,,
DNK,Denmark,TAXES,Taxes,2000,2000,IDX,Index,0,Units,,,2.5,,
DNK,Denmark,TAXES,Taxes,2001,2001,IDX,Index,0,Units,,,2.5,,
DNK,Denmark,TAXES,Taxes,2002,2002,IDX,Index,0,Units,,,2.75,,
DNK,Denmark,TAXES,Taxes,2003,2003,IDX,Index,0,Units,,,2.75,,
DNK,Denmark,TAXES,Taxes,2004,2004,IDX,Index,0,Units,,,2.75,,
DNK,Denmark,TAXES,Taxes,2005,2005,IDX,Index,0,Units,,,2.5,,
DNK,Denmark,TAXES,Taxes,2006,2006,IDX,Index,0,Units,,,2.5,,
DNK,Denmark,TAXES,Taxes,2007,2007,IDX,Index,0,Units,,,2.5,,
DNK,Denmark,TAXES,Taxes,2008,2008,IDX,Index,0,Units,,,2.5,,
DNK,Denmark,TAXES,Taxes,2009,2009,IDX,Index,0,Units,,,4,,
DNK,Denmark,TAXES,Taxes,2010,2010,IDX,Index,0,Units,,,4,,
DNK,Denmark,TAXES,Taxes,2011,2011,IDX,Index,0,Units,,,3.75,,
DNK,Denmark,TAXES,Taxes,2012,2012,IDX,Index,0,Units,,,3.75,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1990,1990,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1991,1991,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1992,1992,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1993,1993,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1994,1994,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1995,1995,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1996,1996,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1997,1997,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1998,1998,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,1999,1999,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2000,2000,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2001,2001,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2002,2002,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2003,2003,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2004,2004,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2005,2005,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2006,2006,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2007,2007,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2008,2008,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2009,2009,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2010,2010,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2011,2011,IDX,Index,0,Units,,,0,,
PRT,Portugal,TRADESCH_EEF,Trading Schemes White Certificates,2012,2012,IDX,Index,0,Units,,,0,,
ESP,Spain,ELV_DIESELSO,Sulphur content limit for diesel,1990,1990,IDX,Index,0,Units,,,1,,
ESP,Spain,ELV_DIESELSO,Sulphur content limit for diesel,1991,1991,IDX,Index,0,Units,,,1,,
ESP,Spain,ELV_DIESELSO,Sulphur content limit for diesel,1992,1992,IDX,Index,0,Units,,,1,,
ESP,Spain,ELV_DIESELSO,Sulphur content limit for diesel,1993,1993,IDX,Index,0,Units,,,2,,
ESP,Spain,ELV_DIESELSO,Sulphur content limit for diesel,1994,1994,IDX,Index,0,Units,,,2,,
ESP,Spain,ELV_DIESELSO,Sulphur content limit for diesel,1995,1995,IDX,Index,0,Units,,,2,,
ESP,Spain,ELV_DIESELSO,Sulphur content limit for diesel,1996,1996,IDX,Index,0,Units,,,2,,
